PLAYER_ID,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS
1630182,Josh Green,27.76,2.65,6.19,0.4,1.43,3.65,0.34,0.72,1.06,0.32,0.82,1.71,2.53,1.59,1.03,1.09,0.22,0.38,2.43,1.28,7.44
1630183,Jaden McDaniels,31.88,4.85,10.17,0.47,1.22,3.7,0.34,1.27,1.56,0.4,1.57,4.16,5.73,1.99,1.16,1.34,0.9,0.5,2.74,1.66,12.2
1630188,Jalen Smith,15.04,2.97,6.38,0.46,1.12,3.47,0.3,1.12,1.39,0.39,1.39,4.19,5.58,1.02,0.58,0.27,0.69,0.22,1.48,1.31,8.19
1630191,Isaiah Stewart,19.91,2.44,4.38,0.53,0.24,0.74,0.15,0.92,1.21,0.35,1.81,3.74,5.54,1.71,0.94,0.39,1.4,0.17,2.54,1.29,6.04
1630192,Zeke Nnaji,10.67,1.23,2.47,0.4,0.3,0.91,0.16,0.47,0.77,0.19,0.58,1.0,1.58,0.4,0.25,0.44,0.67,0.23,1.09,0.67,3.23
1630193,Immanuel Quickley,27.81,5.58,13.27,0.43,2.58,6.82,0.38,3.36,3.88,0.77,0.48,3.06,3.55,5.79,1.76,0.7,0.12,0.76,1.85,2.88,17.09
1630194,Paul Reed,9.72,1.6,3.16,0.43,0.18,0.62,0.16,0.71,0.93,0.28,0.89,1.84,2.73,0.98,0.58,0.87,0.56,0.16,1.67,0.76,4.09
1630198,Isaiah Joe,21.68,3.5,7.95,0.41,2.59,6.3,0.38,0.62,0.76,0.27,0.55,2.09,2.65,1.61,0.51,0.65,0.12,0.26,1.53,1.38,10.22
1630200,Tre Jones,19.67,2.78,5.17,0.51,0.41,1.04,0.26,1.2,1.46,0.42,0.67,1.85,2.52,4.17,0.76,0.8,0.22,0.39,1.2,1.46,7.17
1630201,Malachi Flynn,10.92,1.25,3.25,0.41,0.25,1.0,0.25,1.25,1.5,0.42,0.75,1.0,1.75,1.75,1.0,0.75,0.0,0.0,1.0,1.25,4.0
1630202,Payton Pritchard,28.39,5.11,10.82,0.45,3.19,7.82,0.39,0.89,1.05,0.32,1.27,2.56,3.84,3.49,1.04,0.88,0.18,0.48,1.48,1.08,14.3
1630205,Lamar Stevens,9.15,1.71,3.71,0.28,0.47,1.59,0.11,0.47,0.65,0.26,0.24,2.0,2.24,0.47,0.59,0.29,0.18,0.47,0.88,0.47,4.35
1630208,Nick Richards,22.04,3.6,6.09,0.54,0.0,0.04,0.0,2.09,2.81,0.54,2.6,5.58,8.18,0.86,1.42,0.25,0.96,0.89,2.47,2.07,9.28
1630214,Xavier Tillman,7.0,0.39,1.61,0.16,0.15,0.97,0.06,0.09,0.12,0.05,0.3,1.0,1.3,0.21,0.42,0.33,0.15,0.12,0.55,0.15,1.03
1630215,Jared Butler,17.4,3.38,7.55,0.43,1.0,2.82,0.26,1.25,1.52,0.49,0.42,1.42,1.83,3.67,1.33,0.7,0.22,0.63,1.62,1.23,9.02
1630217,Desmond Bane,31.96,7.14,14.75,0.48,2.38,6.06,0.38,2.57,2.87,0.7,0.9,5.16,6.06,5.35,2.45,1.16,0.41,1.1,2.38,1.99,19.23
1630222,Mason Jones,4.54,0.9,1.8,0.29,0.1,0.8,0.03,0.4,0.5,0.25,0.2,0.7,0.9,1.1,0.1,0.0,0.1,0.0,0.3,0.3,2.3
1630224,Jalen Green,32.89,7.41,17.52,0.41,2.85,8.06,0.33,3.33,4.1,0.68,0.55,4.05,4.6,3.44,2.48,0.87,0.33,1.29,1.55,3.02,21.01
1630227,Daishen Nix,4.41,0.0,0.33,0.0,0.0,0.33,0.0,0.33,0.67,0.17,0.0,1.33,1.33,1.0,1.33,0.0,0.0,0.0,0.33,0.33,0.33
1630228,Jonathan Kuminga,24.34,5.49,12.09,0.45,0.98,3.21,0.25,3.34,5.0,0.56,1.19,3.43,4.62,2.21,1.51,0.81,0.45,1.02,1.91,3.09,15.3
1630230,Naji Marshall,27.81,5.25,10.32,0.49,0.87,3.16,0.23,1.88,2.32,0.56,1.1,3.65,4.75,3.01,1.62,1.01,0.16,0.54,1.58,1.71,13.25
1630231,KJ Martin,21.2,2.58,4.67,0.51,0.35,1.35,0.16,0.86,1.09,0.46,0.7,2.21,2.91,1.12,0.56,0.4,0.51,0.47,2.35,0.84,6.37
1630241,Sam Merrill,19.74,2.42,5.97,0.39,1.93,5.18,0.35,0.39,0.41,0.18,0.54,1.68,2.21,1.52,0.49,0.75,0.2,0.21,1.75,0.77,7.17
1630243,Trevelin Queen,13.88,1.81,4.74,0.27,0.71,2.48,0.22,0.58,0.68,0.25,0.84,0.9,1.74,1.23,0.71,1.0,0.32,0.35,1.23,0.55,4.9
